web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972550-1","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 17, 2025","4,400.00","4,420.00","4,340.00","4,370.00","4,370.00","27,653,900"
"1765972550-2","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 16, 2025","4,440.00","4,460.00","4,330.00","4,400.00","4,400.00","36,287,500"
"1765972550-3","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 15, 2025","4,270.00","4,450.00","4,230.00","4,440.00","4,440.00","57,531,500"
"1765972550-4","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 12, 2025","4,290.00","4,290.00","4,170.00","4,240.00","4,240.00","23,240,100"
"1765972550-5","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 11, 2025","4,350.00","4,390.00","4,190.00","4,230.00","4,230.00","43,389,300"
"1765972550-6","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 10, 2025","4,350.00","4,350.00","4,270.00","4,310.00","4,310.00","19,908,000"
"1765972550-7","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 9, 2025","4,310.00","4,330.00","4,260.00","4,320.00","4,320.00","34,461,400"
"1765972550-8","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 8, 2025","4,360.00","4,360.00","4,290.00","4,310.00","4,310.00","28,219,300"
"1765972550-9","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 5, 2025","4,330.00","4,360.00","4,290.00","4,290.00","4,290.00","28,877,500"
"1765972550-10","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 4, 2025","4,260.00","4,320.00","4,240.00","4,310.00","4,310.00","23,544,900"
"1765972550-11","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 3, 2025","4,270.00","4,290.00","4,240.00","4,260.00","4,260.00","28,263,900"
"1765972550-12","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 2, 2025","4,340.00","4,360.00","4,250.00","4,270.00","4,270.00","39,091,800"
"1765972550-13","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Dec 1, 2025","4,240.00","4,350.00","4,240.00","4,310.00","4,310.00","19,335,100"
"1765972550-14","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 28, 2025","4,330.00","4,350.00","4,260.00","4,260.00","4,260.00","40,758,200"
"1765972550-15","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 27, 2025","4,420.00","4,420.00","4,300.00","4,350.00","4,350.00","33,618,200"
"1765972550-16","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 26, 2025","4,420.00","4,420.00","4,370.00","4,410.00","4,410.00","31,686,100"
"1765972550-17","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 25, 2025","4,420.00","4,450.00","4,370.00","4,420.00","4,420.00","36,142,900"
"1765972550-18","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 24, 2025","4,400.00","4,440.00","4,350.00","4,390.00","4,390.00","76,652,700"
"1765972550-19","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 21, 2025","4,450.00","4,450.00","4,370.00","4,390.00","4,390.00","45,565,700"
"1765972550-20","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 20, 2025","4,470.00","4,560.00","4,450.00","4,460.00","4,460.00","54,706,000"
"1765972550-21","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 19, 2025","4,470.00","4,470.00","4,410.00","4,460.00","4,460.00","34,300,600"
"1765972550-22","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 18, 2025","4,400.00","4,470.00","4,400.00","4,460.00","4,460.00","36,957,300"
"1765972550-23","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 17, 2025","4,390.00","4,440.00","4,380.00","4,390.00","4,390.00","28,453,300"
"1765972550-24","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 14, 2025","4,410.00","4,450.00","4,370.00","4,390.00","4,390.00","34,602,500"
"1765972550-25","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 13, 2025","4,470.00","4,480.00","4,420.00","4,420.00","4,420.00","20,207,300"
"1765972550-26","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 12, 2025","4,410.00","4,480.00","4,400.00","4,460.00","4,460.00","35,386,800"
"1765972550-27","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 11, 2025","4,450.00","4,450.00","4,370.00","4,420.00","4,420.00","48,792,200"
"1765972550-28","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 10, 2025","4,520.00","4,520.00","4,410.00","4,420.00","4,420.00","45,518,800"
"1765972550-29","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 7, 2025","4,440.00","4,500.00","4,440.00","4,500.00","4,500.00","36,148,800"
"1765972550-30","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 6, 2025","4,450.00","4,480.00","4,430.00","4,440.00","4,440.00","31,809,500"
"1765972550-31","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 5, 2025","4,400.00","4,480.00","4,380.00","4,460.00","4,460.00","43,447,700"
"1765972550-32","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 4, 2025","4,430.00","4,510.00","4,430.00","4,450.00","4,450.00","73,342,900"
"1765972550-33","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Nov 3, 2025","4,390.00","4,460.00","4,380.00","4,430.00","4,430.00","40,455,000"
"1765972550-34","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 31, 2025","4,400.00","4,450.00","4,350.00","4,380.00","4,380.00","69,141,700"
"1765972550-35","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 30, 2025","4,420.00","4,530.00","4,370.00","4,410.00","4,410.00","91,042,600"
"1765972550-36","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 29, 2025","4,380.00","4,440.00","4,320.00","4,440.00","4,440.00","71,743,700"
"1765972550-37","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 28, 2025","4,390.00","4,440.00","4,340.00","4,370.00","4,370.00","58,463,900"
"1765972550-38","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 27, 2025","4,440.00","4,450.00","4,270.00","4,370.00","4,370.00","102,355,700"
"1765972550-39","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 24, 2025","4,220.00","4,440.00","4,210.00","4,370.00","4,370.00","177,603,900"
"1765972550-40","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 23, 2025","4,030.00","4,250.00","4,020.00","4,240.00","4,240.00","130,641,200"
"1765972550-41","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 22, 2025","4,070.00","4,150.00","4,000.00","4,030.00","4,030.00","81,226,400"
"1765972550-42","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 21, 2025","4,110.00","4,130.00","4,030.00","4,050.00","4,050.00","88,064,800"
"1765972550-43","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 20, 2025","3,870.00","4,110.00","3,860.00","4,040.00","4,040.00","146,203,400"
"1765972550-44","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 17, 2025","3,870.00","3,900.00","3,800.00","3,800.00","3,800.00","60,733,400"
"1765972550-45","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 16, 2025","3,790.00","3,890.00","3,760.00","3,850.00","3,850.00","55,980,800"
"1765972550-46","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 15, 2025","3,810.00","3,840.00","3,720.00","3,770.00","3,770.00","84,578,200"
"1765972550-47","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 14, 2025","3,910.00","3,940.00","3,800.00","3,800.00","3,800.00","69,452,000"
"1765972550-48","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 13, 2025","3,920.00","3,940.00","3,870.00","3,900.00","3,900.00","38,351,600"
"1765972550-49","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 10, 2025","4,090.00","4,090.00","3,950.00","3,970.00","3,970.00","48,778,300"
"1765972550-50","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 9, 2025","3,910.00","4,150.00","3,860.00","4,100.00","4,100.00","106,114,200"
"1765972550-51","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 8, 2025","4,000.00","4,010.00","3,930.00","3,940.00","3,940.00","28,812,600"
"1765972550-52","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 7, 2025","4,030.00","4,040.00","3,970.00","3,990.00","3,990.00","41,251,900"
"1765972550-53","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 6, 2025","4,040.00","4,090.00","4,000.00","4,000.00","4,000.00","35,060,200"
"1765972550-54","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 3, 2025","4,060.00","4,080.00","4,010.00","4,040.00","4,040.00","26,763,100"
"1765972550-55","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 2, 2025","4,050.00","4,100.00","4,040.00","4,040.00","4,040.00","34,730,200"
"1765972550-56","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Oct 1, 2025","4,050.00","4,120.00","4,050.00","4,050.00","4,050.00","37,812,400"
