web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972192-1","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 17, 2025","4,990.00","5,025.00","4,960.00","5,025.00","5,025.00","94,254,100"
"1765972192-2","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 16, 2025","5,025.00","5,050.00","4,920.00","5,000.00","5,000.00","137,373,200"
"1765972192-3","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 15, 2025","4,820.00","5,025.00","4,790.00","4,990.00","4,990.00","122,451,500"
"1765972192-4","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 12, 2025","4,980.00","4,980.00","4,820.00","4,820.00","4,820.00","111,830,600"
"1765972192-5","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 11, 2025","5,000.00","5,050.00","4,830.00","4,950.00","4,950.00","151,956,700"
"1765972192-6","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 10, 2025","4,950.00","4,970.00","4,870.00","4,970.00","4,970.00","96,005,900"
"1765972192-7","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 9, 2025","4,970.00","4,980.00","4,870.00","4,890.00","4,890.00","134,575,200"
"1765972192-8","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 8, 2025","4,950.00","4,960.00","4,910.00","4,950.00","4,950.00","62,947,600"
"1765972192-9","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 5, 2025","4,940.00","4,940.00","4,870.00","4,900.00","4,900.00","53,969,200"
"1765972192-10","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 4, 2025","4,930.00","4,940.00","4,880.00","4,920.00","4,920.00","59,392,600"
