web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1766321157-1","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 28, 2025","2,380.00","2,390.00","2,340.00","2,340.00","2,340.00","9,237,100"
"1766321157-2","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 27, 2025","2,390.00","2,430.00","2,350.00","2,370.00","2,370.00","13,918,800"
"1766321157-3","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 26, 2025","2,390.00","2,400.00","2,370.00","2,380.00","2,380.00","6,414,800"
"1766321157-4","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 25, 2025","2,400.00","2,410.00","2,370.00","2,390.00","2,390.00","11,256,900"
"1766321157-5","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 24, 2025","2,420.00","2,430.00","2,380.00","2,400.00","2,400.00","14,519,100"
"1766321157-6","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 21, 2025","2,450.00","2,450.00","2,390.00","2,420.00","2,420.00","22,051,000"
"1766321157-7","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 20, 2025","2,460.00","2,480.00","2,450.00","2,450.00","2,450.00","14,356,100"
"1766321157-8","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 19, 2025","2,470.00","2,480.00","2,450.00","2,460.00","2,460.00","6,991,600"
"1766321157-9","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 18, 2025","2,480.00","2,510.00","2,450.00","2,470.00","2,470.00","9,935,900"
"1766321157-10","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 17, 2025","2,500.00","2,510.00","2,460.00","2,480.00","2,480.00","11,211,600"
"1766321157-11","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 14, 2025","2,460.00","2,500.00","2,460.00","2,490.00","2,490.00","12,091,100"
"1766321157-12","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 13, 2025","2,490.00","2,500.00","2,450.00","2,460.00","2,460.00","20,489,000"
"1766321157-13","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 12, 2025","2,500.00","2,520.00","2,470.00","2,480.00","2,480.00","20,964,400"
"1766321157-14","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 11, 2025","2,510.00","2,520.00","2,470.00","2,500.00","2,500.00","14,559,300"
"1766321157-15","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 10, 2025","2,530.00","2,540.00","2,500.00","2,500.00","2,500.00","13,044,200"
"1766321157-16","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 7, 2025","2,490.00","2,530.00","2,490.00","2,510.00","2,510.00","16,252,400"
"1766321157-17","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 6, 2025","2,500.00","2,510.00","2,480.00","2,490.00","2,490.00","13,416,400"
"1766321157-18","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 5, 2025","2,520.00","2,520.00","2,480.00","2,500.00","2,500.00","27,036,100"
"1766321157-19","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 4, 2025","2,540.00","2,560.00","2,510.00","2,510.00","2,510.00","14,220,900"
"1766321157-20","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Nov 3, 2025","2,550.00","2,580.00","2,530.00","2,530.00","2,530.00","22,920,400"
"1766321157-21","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 31, 2025","2,570.00","2,620.00","2,550.00","2,550.00","2,550.00","25,759,900"
"1766321157-22","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 30, 2025","2,600.00","2,660.00","2,570.00","2,570.00","2,570.00","23,838,500"
"1766321157-23","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 29, 2025","2,580.00","2,620.00","2,570.00","2,600.00","2,600.00","17,255,600"
"1766321157-24","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 28, 2025","2,610.00","2,610.00","2,550.00","2,560.00","2,560.00","15,102,900"
"1766321157-25","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 27, 2025","2,650.00","2,650.00","2,550.00","2,600.00","2,600.00","13,353,300"
"1766321157-26","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 24, 2025","2,620.00","2,670.00","2,610.00","2,610.00","2,610.00","13,961,700"
"1766321157-27","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 23, 2025","2,620.00","2,660.00","2,590.00","2,640.00","2,640.00","22,331,000"
"1766321157-28","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 22, 2025","2,670.00","2,720.00","2,610.00","2,620.00","2,620.00","20,801,200"
"1766321157-29","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 21, 2025","2,680.00","2,700.00","2,650.00","2,670.00","2,670.00","24,175,700"
"1766321157-30","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 20, 2025","2,550.00","2,690.00","2,550.00","2,640.00","2,640.00","34,752,100"
"1766321157-31","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 17, 2025","2,520.00","2,580.00","2,500.00","2,520.00","2,520.00","9,718,200"
"1766321157-32","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 16, 2025","2,510.00","2,570.00","2,500.00","2,520.00","2,520.00","13,167,700"
"1766321157-33","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 15, 2025","2,570.00","2,580.00","2,490.00","2,500.00","2,500.00","17,943,800"
"1766321157-34","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 14, 2025","2,580.00","2,600.00","2,540.00","2,560.00","2,560.00","17,543,200"
"1766321157-35","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 13, 2025","2,610.00","2,620.00","2,570.00","2,580.00","2,580.00","15,062,100"
"1766321157-36","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 10, 2025","2,690.00","2,700.00","2,620.00","2,630.00","2,630.00","17,746,400"
"1766321157-37","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 9, 2025","2,590.00","2,740.00","2,580.00","2,690.00","2,690.00","36,630,600"
"1766321157-38","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 8, 2025","2,610.00","2,610.00","2,580.00","2,590.00","2,590.00","10,899,000"
"1766321157-39","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 7, 2025","2,600.00","2,620.00","2,590.00","2,600.00","2,600.00","10,228,400"
"1766321157-40","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 6, 2025","2,610.00","2,620.00","2,590.00","2,610.00","2,610.00","8,685,100"
"1766321157-41","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 3, 2025","2,600.00","2,610.00","2,590.00","2,610.00","2,610.00","6,195,700"
"1766321157-42","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 2, 2025","2,600.00","2,620.00","2,600.00","2,600.00","2,600.00","7,999,600"
"1766321157-43","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Oct 1, 2025","2,590.00","2,640.00","2,580.00","2,590.00","2,590.00","20,611,800"
"1766321157-44","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 30, 2025","2,610.00","2,620.00","2,590.00","2,590.00","2,590.00","21,168,900"
"1766321157-45","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 29, 2025","2,660.00","2,660.00","2,590.00","2,610.00","2,610.00","28,208,400"
"1766321157-46","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 26, 2025","2,670.00","2,680.00","2,620.00","2,670.00","2,670.00","19,137,800"
"1766321157-47","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 25, 2025","2,700.00","2,710.00","2,630.00","2,670.00","2,670.00","20,357,800"
"1766321157-48","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 24, 2025","2,700.00","2,730.00","2,650.00","2,690.00","2,690.00","22,084,700"
"1766321157-49","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 23, 2025","2,620.00","2,690.00","2,620.00","2,660.00","2,660.00","21,875,300"
"1766321157-50","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 22, 2025","2,620.00","2,630.00","2,590.00","2,610.00","2,610.00","7,705,800"
"1766321157-51","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 19, 2025","2,610.00","2,640.00","2,590.00","2,610.00","2,610.00","15,916,000"
"1766321157-52","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 18, 2025","2,660.00","2,670.00","2,610.00","2,610.00","2,610.00","11,144,900"
"1766321157-53","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 17, 2025","2,640.00","2,670.00","2,600.00","2,650.00","2,650.00","18,764,600"
"1766321157-54","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 16, 2025","2,670.00","2,680.00","2,630.00","2,640.00","2,640.00","15,058,200"
"1766321157-55","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 15, 2025","2,720.00","2,730.00","2,680.00","2,680.00","2,680.00","12,526,500"
"1766321157-56","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 12, 2025","2,710.00","2,750.00","2,690.00","2,690.00","2,690.00","31,513,000"
"1766321157-57","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 11, 2025","2,570.00","2,670.00","2,540.00","2,660.00","2,660.00","34,545,800"
"1766321157-58","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 10, 2025","2,510.00","2,550.00","2,490.00","2,500.00","2,500.00","36,993,900"
"1766321157-59","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 9, 2025","2,590.00","2,640.00","2,430.00","2,480.00","2,480.00","49,425,000"
"1766321157-60","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 8, 2025","2,740.00","2,740.00","2,580.00","2,580.00","2,580.00","30,899,500"
"1766321157-61","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 4, 2025","2,720.00","2,740.00","2,690.00","2,720.00","2,720.00","9,615,500"
"1766321157-62","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 3, 2025","2,720.00","2,740.00","2,710.00","2,720.00","2,720.00","5,887,800"
"1766321157-63","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 2, 2025","2,690.00","2,730.00","2,690.00","2,710.00","2,710.00","9,432,300"
"1766321157-64","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Sep 1, 2025","2,600.00","2,720.00","2,600.00","2,690.00","2,690.00","17,070,500"
"1766321157-65","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 29, 2025","2,730.00","2,740.00","2,680.00","2,710.00","2,710.00","16,494,100"
"1766321157-66","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 28, 2025","2,720.00","2,750.00","2,720.00","2,740.00","2,740.00","6,774,900"
"1766321157-67","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 27, 2025","2,780.00","2,780.00","2,710.00","2,720.00","2,720.00","12,206,800"
"1766321157-68","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 26, 2025","2,760.00","2,770.00","2,740.00","2,760.00","2,760.00","7,566,200"
